gender,age,under_30,senior_citizen,partner,dependents,number_of_dependents,married,paperless_billing,monthly_ charges,avg_monthly_long_distance_charges,total_charges,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue,tenure,internet_service_x,phone_service_x,multiple_lines,avg_monthly_gb_download,unlimited_data,referred_a_friend,number_of_referrals,cltv,churn_value,online_security,online_backup,device_protection,premium_tech_support,streaming_tv,streaming_movies,streaming_music,contract_One Year,contract_Two Year,payment_method_Credit card (automatic),payment_method_Electronic check,payment_method_Mailed check,offer_Offer B,offer_Offer C,offer_Offer D,offer_Offer E,internet_type_DSL,internet_type_Fiber Optic
1,57,0,0,0,1,1,0,1,45.0,0.0,1242.45,12.26,0,0.0,1230.19,29,1,0,0,21,1,0,0,3290,0,1,1,1,1,0,0,0,False,False,False,False,True,False,False,False,False,True,False
1,19,1,0,1,0,0,1,1,85.15,32.36,6316.2,0.0,0,2329.92,8646.12,72,1,1,1,52,1,1,5,6322,0,0,1,1,1,1,1,1,False,True,False,False,False,False,False,False,False,True,False
0,64,0,0,0,0,0,0,0,51.45,24.04,727.85,0.0,0,336.56,1064.41,14,1,1,0,12,1,0,0,4298,0,0,1,0,0,0,0,0,True,False,True,False,False,False,False,False,False,False,False
0,38,0,0,0,0,0,0,1,99.25,36.42,3532.0,0.0,0,1274.7,4806.7,35,1,1,0,2,1,0,0,3244,0,0,0,1,1,1,1,1,True,False,False,True,False,False,True,False,False,False,True
1,54,0,0,0,0,0,0,1,44.3,42.95,44.3,0.0,0,42.95,87.25,1,1,1,0,9,1,0,0,4427,0,0,0,0,0,0,0,0,False,False,False,False,True,False,False,False,True,True,False
1,50,0,0,0,0,0,0,1,94.2,2.05,2607.6,0.0,20,59.45,2687.05,29,1,1,0,17,0,0,0,4561,0,0,0,0,1,1,1,1,False,False,False,True,False,False,False,False,False,False,True
1,25,1,0,0,0,0,0,0,81.25,5.49,5567.55,0.0,40,351.36,5958.91,64,1,1,1,69,0,0,0,4761,0,1,1,1,1,1,0,0,True,False,False,True,False,False,False,False,False,True,False
0,35,0,0,1,1,3,1,1,99.95,24.38,3767.4,0.0,0,950.82,4718.22,39,1,1,1,53,1,1,1,4447,0,0,0,0,1,1,1,1,False,False,True,False,False,False,False,False,False,False,True
0,72,0,1,0,0,0,0,1,91.55,44.14,3673.6,0.0,0,1765.6,5439.2,40,1,1,0,23,1,0,0,5742,0,0,0,0,0,1,1,0,False,True,False,True,False,False,False,False,False,False,True
1,51,0,0,0,0,0,0,1,104.5,37.69,4036.85,0.0,0,1507.6,5544.45,40,1,1,1,15,1,0,0,2832,1,0,1,1,0,1,1,1,False,False,True,False,False,False,False,False,False,False,True
0,78,0,1,0,1,1,0,1,95.0,11.59,1120.3,0.0,120,127.49,1367.79,11,1,1,0,29,0,0,0,5980,1,0,1,0,0,1,1,0,False,False,False,True,False,False,False,True,False,False,True
0,30,0,0,1,0,0,1,0,50.35,42.66,314.55,0.0,0,255.96,570.51,6,1,1,1,85,1,1,10,3442,0,0,0,0,0,0,0,0,False,False,False,True,False,False,False,False,True,False,False
1,58,0,0,0,0,0,0,1,64.5,2.64,1888.45,0.0,0,79.2,1967.65,30,1,1,1,15,1,0,0,5039,0,1,0,0,0,0,1,1,False,False,False,False,True,False,False,False,False,True,False
1,26,1,0,0,0,0,0,1,19.4,20.66,529.8,0.0,0,557.82,1087.62,27,0,1,0,0,0,0,0,3792,0,0,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False,False,False
1,66,0,1,1,0,0,1,1,104.8,39.49,7308.95,6.11,0,2764.3,10067.14,70,1,1,1,28,1,1,3,5291,0,0,1,1,0,1,1,0,True,False,False,True,False,False,False,False,False,False,True
0,20,1,0,1,0,0,1,1,109.4,8.01,6252.7,0.0,0,456.57,6709.27,57,1,1,1,73,1,1,10,6026,0,0,1,1,1,1,1,1,True,False,False,False,False,True,False,False,False,False,True
1,61,0,0,1,0,0,1,0,50.3,18.37,2878.55,10.23,0,1065.46,3933.78,58,1,1,0,18,1,1,10,5232,0,0,0,1,0,0,0,0,True,False,True,False,False,False,False,False,False,True,False
1,24,1,0,0,0,0,0,1,71.4,25.71,1212.1,0.0,0,411.36,1623.46,16,1,1,1,48,1,0,0,3360,0,0,1,1,0,0,1,1,False,False,False,False,False,False,False,False,False,True,False
0,55,0,0,1,0,0,1,1,116.0,38.52,8182.85,0.0,0,2657.88,10840.73,69,1,1,1,27,1,1,3,4216,0,1,1,1,1,1,1,1,False,True,False,True,False,False,False,False,False,False,True
1,32,0,0,0,0,0,0,1,19.85,31.77,19.85,0.0,0,31.77,51.62,1,0,1,0,0,0,0,0,3874,1,0,0,0,0,0,0,0,False,False,False,True,False,False,False,False,True,False,False
1,59,0,0,0,0,0,0,1,99.75,40.71,99.75,0.0,0,40.71,140.46,1,1,1,1,25,1,0,0,4214,1,0,0,1,0,1,1,1,False,False,False,True,False,False,False,False,False,False,True
1,71,0,1,1,1,1,1,1,93.95,31.86,2861.45,0.0,0,1019.52,3880.97,32,1,1,0,23,1,1,9,2844,0,0,1,0,0,1,1,1,True,False,False,False,True,False,True,False,False,False,True
1,49,0,0,1,1,2,1,1,90.8,48.71,1442.2,0.0,0,779.36,2221.56,16,1,1,1,12,1,1,8,5560,0,0,0,1,0,1,0,0,False,False,False,False,False,False,False,True,False,False,True
1,61,0,0,1,0,0,1,0,84.35,39.55,4059.35,0.0,0,1937.95,5997.3,49,1,1,1,10,1,1,1,6452,1,1,0,1,1,1,1,1,True,False,False,True,False,True,False,False,False,False,False
0,40,0,0,1,0,0,1,0,58.25,0.0,4145.9,0.0,0,0.0,4145.9,71,1,0,0,29,1,1,2,5224,0,0,1,1,1,1,1,1,False,True,False,False,False,False,False,False,False,False,False
0,39,0,0,0,0,0,0,0,107.55,49.69,3645.5,0.0,0,1639.77,5285.27,33,1,1,1,12,1,0,0,4800,0,0,1,1,0,1,1,1,False,False,False,True,False,False,False,False,False,False,True
0,21,1,0,1,0,0,1,1,19.95,49.6,187.75,0.0,0,496.0,683.75,10,0,1,0,0,0,1,9,3831,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False
1,24,1,0,1,0,0,1,1,111.2,36.26,2317.1,0.0,120,761.46,3198.56,21,1,1,1,59,0,1,1,4123,1,0,1,1,1,1,1,1,False,False,False,True,False,False,False,False,False,False,True
1,52,0,0,1,1,1,1,0,40.2,0.0,1448.8,0.0,0,0.0,1448.8,37,1,0,0,23,1,1,1,3627,1,1,1,1,0,0,0,0,False,False,False,False,False,False,False,False,False,True,False
0,71,0,1,0,0,0,0,1,85.8,33.74,2193.65,0.0,0,877.24,3070.89,26,1,1,0,7,1,0,0,5700,0,1,0,0,0,1,0,0,False,False,True,False,False,False,False,False,False,False,True
1,45,0,0,0,0,0,0,1,35.4,0.0,1748.9,0.0,0,0.0,1748.9,50,1,0,0,7,1,0,0,5052,0,1,0,0,1,0,0,0,True,False,False,False,True,True,False,False,False,True,False
0,29,1,0,0,0,0,0,1,73.85,28.62,511.25,13.03,0,200.34,698.56,7,1,1,1,26,1,0,0,2473,1,0,0,0,0,0,0,1,False,False,False,True,False,False,False,False,False,False,True
0,62,0,0,1,0,0,1,0,88.1,47.19,5526.75,0.0,0,2878.59,8405.34,61,1,1,1,28,1,1,1,5152,0,1,1,1,1,1,1,1,False,True,False,False,True,True,False,False,False,True,False
1,42,0,0,0,0,0,0,1,101.35,45.92,1553.95,0.0,0,688.8,2242.75,15,1,1,0,12,1,0,0,3025,1,0,0,1,1,1,1,1,False,False,False,True,False,False,False,True,False,False,True
0,51,0,0,0,1,2,0,0,45.8,0.0,1147.0,0.0,0,0.0,1147.0,26,1,0,0,19,1,0,0,3287,0,1,0,0,1,0,1,1,False,False,False,False,True,False,False,False,False,True,False
1,39,0,0,1,0,0,1,1,94.65,33.22,6747.35,0.0,0,2391.84,9139.19,72,1,1,0,23,1,1,9,5943,0,0,0,1,0,1,1,1,False,False,False,True,False,False,False,False,False,False,True
1,64,0,0,1,0,0,1,1,20.5,27.4,865.05,0.0,0,1205.6,2070.65,44,0,1,0,0,0,1,1,3093,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False
1,55,0,0,0,0,0,0,0,89.4,48.78,5976.9,36.02,40,3219.48,9200.36,66,1,1,1,8,0,0,0,4889,0,0,1,0,0,0,1,1,False,False,True,False,False,False,False,False,False,False,True
0,40,0,0,0,0,0,0,1,86.25,36.81,181.65,0.0,0,73.62,255.27,2,1,1,0,16,1,0,0,3529,1,1,1,0,1,0,0,0,False,False,False,True,False,False,False,False,False,False,True
0,76,0,1,0,0,0,0,0,74.85,7.72,3268.05,17.91,0,339.68,3589.82,44,1,1,0,17,1,0,0,3253,0,0,0,1,1,1,1,1,True,False,False,False,False,False,False,False,False,True,False
0,57,0,0,0,0,0,0,1,89.75,14.38,1052.4,0.0,0,172.56,1224.96,12,1,1,1,6,1,0,0,5671,1,0,1,0,0,1,0,0,False,False,False,False,False,False,False,True,False,False,True
1,71,0,1,1,0,0,1,1,109.95,18.41,7634.25,0.0,0,1270.29,8904.54,69,1,1,1,17,1,1,1,4297,0,0,1,1,1,1,1,0,False,True,False,True,False,False,False,False,False,False,True
0,25,1,0,0,0,0,0,1,80.2,1.23,80.2,0.0,0,1.23,81.43,1,1,1,1,69,1,0,0,3056,1,0,1,0,0,0,0,0,False,False,False,False,True,False,False,False,True,False,True
0,24,1,0,0,0,0,0,0,19.85,25.75,63.75,0.0,0,77.25,141.0,3,0,1,0,0,0,0,0,3398,1,0,0,0,0,0,0,0,False,False,False,False,True,False,False,False,True,False,False
0,19,1,0,1,0,0,1,0,90.35,4.65,190.5,0.0,0,9.3,199.8,2,1,1,0,53,1,1,10,5361,0,1,1,0,0,1,0,0,False,False,False,True,False,False,False,False,False,False,True
0,77,0,1,0,0,0,0,1,86.45,2.97,2401.05,0.0,0,80.19,2481.24,27,1,1,1,4,1,0,0,5990,0,0,1,1,0,0,0,0,False,True,False,False,False,False,False,False,False,False,True
1,57,0,0,0,0,0,0,1,20.3,13.34,511.25,0.0,0,346.84,858.09,26,0,1,0,0,0,0,0,5712,0,0,0,0,0,0,0,0,False,False,False,True,False,False,True,False,False,False,False
0,73,0,1,1,0,0,1,1,101.25,20.15,3949.15,0.0,0,785.85,4735.0,39,1,1,1,21,1,1,9,3172,0,0,0,0,1,1,1,1,False,False,False,True,False,False,False,False,False,False,True
1,41,0,0,0,0,0,0,1,94.7,34.88,2362.1,0.0,0,872.0,3234.1,25,1,1,1,8,1,0,0,5641,1,0,0,0,0,1,1,1,False,False,False,False,False,False,False,False,False,False,True
0,43,0,0,0,0,0,0,0,70.9,39.81,70.9,0.0,0,39.81,110.71,1,1,1,0,23,1,0,0,4739,1,0,0,0,0,0,0,0,False,False,False,False,True,False,False,False,True,False,True
1,48,0,0,1,0,0,1,1,54.2,27.24,1152.7,0.0,0,599.28,1751.98,22,1,1,0,21,1,1,1,5102,1,1,0,0,1,0,0,0,False,False,False,True,False,False,False,True,False,True,False
0,56,0,0,0,0,0,0,1,114.9,48.37,8496.7,0.0,0,3482.64,11979.34,72,1,1,1,5,1,0,0,4589,0,1,1,1,1,1,1,1,False,True,False,True,False,False,False,False,False,False,True
0,51,0,0,0,0,0,0,1,19.55,10.64,470.2,0.0,0,255.36,725.56,24,0,1,0,0,0,0,0,2511,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False
0,34,0,0,1,0,0,1,1,86.85,7.84,1564.4,0.0,0,148.96,1713.36,19,1,1,1,16,1,1,8,5072,0,0,0,0,0,1,0,0,False,False,False,True,False,False,False,False,False,False,True
1,21,1,0,1,1,2,1,0,25.35,9.2,1847.55,0.0,0,653.2,2500.75,71,0,1,1,0,0,1,2,5747,0,0,0,0,0,0,0,0,False,True,True,False,False,False,False,False,False,False,False
1,78,0,1,1,0,0,1,1,109.9,25.15,3694.7,0.0,0,829.95,4524.65,33,1,1,1,20,1,1,7,5655,0,1,0,1,1,1,1,0,True,False,False,False,False,False,False,False,False,False,True
0,60,0,0,0,0,0,0,0,19.95,2.69,58.0,0.0,0,8.07,66.07,3,0,1,0,0,0,0,0,5949,0,0,0,0,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False
1,54,0,0,1,1,1,1,0,87.2,1.09,4017.45,0.0,0,51.23,4068.68,47,1,1,1,13,1,1,7,3760,0,0,1,0,0,1,0,0,False,False,False,True,False,False,False,False,False,False,True
1,42,0,0,1,1,3,1,0,108.15,1.76,6825.65,0.0,0,109.12,6934.77,62,1,1,0,20,1,1,2,5298,0,1,1,1,1,1,1,1,False,True,False,False,True,False,False,False,False,False,True
1,22,1,0,0,0,0,0,1,116.3,2.88,8309.55,0.0,0,204.48,8514.03,71,1,1,1,48,1,0,0,4644,0,1,1,1,1,1,1,1,True,False,False,False,False,False,False,False,False,False,True
1,71,0,1,1,0,0,1,1,89.0,41.97,605.45,0.0,0,293.79,899.24,7,1,1,0,11,1,1,8,5711,0,0,0,0,0,1,1,1,False,True,False,True,False,False,False,False,False,False,True
0,56,0,0,1,1,2,1,0,74.4,46.66,1972.35,0.0,0,1259.82,3232.17,27,1,1,0,28,1,1,6,4331,0,1,0,0,0,0,0,0,False,False,False,False,True,False,True,False,False,False,True
1,33,0,0,0,0,0,0,0,20.05,1.81,33.7,0.0,0,3.62,37.32,2,0,1,0,0,0,0,0,4978,0,0,0,0,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False
0,32,0,0,0,1,3,0,0,35.05,0.0,844.45,0.0,0,0.0,844.45,25,1,0,0,75,1,0,0,2754,0,1,0,0,1,0,0,0,False,True,False,False,False,False,True,False,False,False,False
1,80,0,1,0,0,0,0,1,74.75,38.61,2111.3,0.0,0,1158.3,3269.6,30,1,1,0,5,1,0,0,3033,0,1,1,0,0,1,1,0,True,False,False,True,False,False,False,False,False,True,False
0,73,0,1,1,0,0,1,1,105.5,16.94,6205.5,0.0,0,982.52,7188.02,58,1,1,0,19,1,1,1,5067,1,1,1,0,1,1,1,1,True,False,True,False,False,False,False,False,False,False,True
1,26,1,0,1,0,0,1,1,85.25,2.02,855.3,0.0,100,20.2,975.5,10,1,1,1,82,0,1,1,3573,1,0,0,0,0,0,1,1,False,False,False,True,False,False,False,True,False,False,True
0,59,0,0,0,0,0,0,1,75.2,9.27,633.85,0.0,0,83.43,717.28,9,1,1,1,28,1,0,0,5841,0,0,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,True
0,78,0,1,1,0,0,1,1,84.35,28.71,474.9,0.0,0,172.26,647.16,6,1,1,1,17,1,1,1,5721,1,0,0,0,0,0,1,0,False,False,False,True,False,False,False,False,False,False,True
0,47,0,0,1,1,1,1,0,84.45,38.92,5848.6,0.0,40,2685.48,8574.08,69,1,1,1,16,0,1,7,5629,0,1,0,1,0,0,0,0,True,False,False,False,False,False,False,False,False,False,True
0,68,0,1,0,0,0,0,1,102.4,10.45,6471.85,0.0,0,689.7,7161.55,66,1,1,1,20,1,0,0,4861,0,1,0,0,0,1,1,1,False,True,False,False,False,False,False,False,False,False,True
0,30,0,0,0,0,0,0,0,115.55,10.21,8127.6,0.0,0,714.7,8842.3,70,1,1,1,52,1,0,0,4838,1,1,1,1,1,1,1,1,True,False,True,False,False,False,False,False,False,False,True
1,62,0,0,0,0,0,0,0,25.3,5.57,676.35,0.0,0,139.25,815.6,25,0,1,1,0,0,0,0,3779,1,0,0,0,0,0,0,0,True,False,False,False,False,False,True,False,False,False,False
0,52,0,0,1,1,2,1,1,19.25,24.33,864.2,0.0,0,1119.18,1983.38,46,0,1,0,0,0,1,1,5596,0,0,0,0,0,0,0,0,False,True,False,False,True,True,False,False,False,False,False
0,63,0,0,1,0,0,1,1,114.65,11.4,6049.5,0.0,0,615.6,6665.1,54,1,1,1,26,1,1,7,4488,0,1,1,1,1,1,1,1,True,False,False,False,True,True,False,False,False,False,True
0,54,0,0,0,0,0,0,0,105.1,22.39,1582.75,0.0,0,335.85,1918.6,15,1,1,0,7,1,0,0,2122,1,1,0,1,1,1,1,1,False,False,False,True,False,False,False,False,False,False,True
0,48,0,0,1,1,1,1,0,19.4,8.25,198.1,0.0,0,99.0,297.1,12,0,1,0,0,0,0,0,3713,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False
0,51,0,0,0,0,0,0,1,50.35,0.0,1098.85,0.0,0,0.0,1098.85,22,1,0,0,22,1,0,0,2875,0,0,1,0,0,1,1,1,False,False,False,True,False,False,False,False,False,False,False
0,22,1,0,1,0,0,1,0,57.8,0.0,4039.3,1.01,0,0.0,4038.29,70,1,0,0,85,1,1,9,5640,0,0,1,1,1,1,1,1,False,True,False,False,False,False,False,False,False,False,False
1,52,0,0,0,0,0,0,1,84.3,24.73,2438.6,0.0,130,741.9,3310.5,30,1,1,0,20,0,0,0,5393,0,1,1,1,0,0,0,0,False,False,True,False,False,False,True,False,False,False,True
1,22,1,0,1,1,1,1,0,100.55,28.34,7113.75,16.99,0,2012.14,9108.9,71,1,1,1,59,1,1,1,5876,0,0,1,0,0,1,1,1,True,False,False,False,False,False,False,False,False,False,True
1,33,0,0,1,0,0,1,0,19.8,9.81,576.65,0.0,0,294.3,870.95,30,0,1,0,0,0,1,2,4006,0,0,0,0,0,0,0,0,True,False,True,False,False,False,False,False,False,False,False
1,26,1,0,1,0,0,1,1,84.8,28.77,371.9,0.0,0,115.08,486.98,4,1,1,1,19,1,1,5,4939,1,0,1,1,0,0,0,1,False,False,False,False,False,False,False,False,True,False,True
1,58,0,0,0,0,0,0,1,85.85,14.14,167.3,0.0,0,28.28,195.58,2,1,1,0,28,1,0,0,3273,1,0,0,1,0,0,1,1,False,False,False,True,False,False,False,False,True,False,True
1,22,1,0,0,1,1,0,1,19.95,7.86,219.5,0.0,0,78.6,298.1,10,0,1,0,0,0,0,0,3044,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False
1,66,0,1,0,0,0,0,0,75.35,36.4,273.4,0.0,0,145.6,419.0,4,1,1,0,29,1,0,0,4033,0,1,0,0,0,0,0,0,True,False,False,True,False,False,False,False,True,False,True
